artist_mbid,country_code
dabaab7a-e807-435e-b2d7-1403fcdc0671,AU
bbaa7a18-98ff-4540-9973-8f8340a83d3b,US
5fcd7daf-25e1-47fd-9ba1-830b42708f84,US
d12b5853-71eb-41d9-8d18-a4259477848a,GB
9a709693-b4f8-4da9-8cc1-038c911a61be,GB
df765d93-621c-437f-99fe-fda9e135f89a,JP
356abadf-a35c-4f93-baa2-9977b1c14046,US
ba147912-dc39-416f-9e4b-09765d671674,GB
e6e4b25d-37d7-4fc1-9022-2b83a298fad8,US
ca825016-f7fd-4ccf-a523-6ee36ea88828,US
c70d12a2-24fe-4f83-a6e6-57d84f8efb51,DE
9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,GB
70248960-cb53-4ea4-943a-edb18f7d336f,US
515b236c-cce1-4dc2-aedd-50de7b1736e2,NL
f5e31fda-bbf5-4ab6-8194-bcc9209b53f8,US
b665b768-0d83-4363-950c-31ed39317c15,US
f1106b17-dcbb-45f6-b938-199ccfab50cc,GB
2469950a-f0ca-425a-bfbc-baf55ea3afde,US
a1684a49-feaa-4150-b758-d9412fc59f12,GB
1303b976-b862-4f04-94fd-a8d444e06714,
62173ce5-37ef-41b1-86cd-45401a8955fc,BE
9e0e2b01-41db-4008-bd8b-988977d6019a,GB
f19d3d49-be22-4ca6-9903-64d86984fbf2,US
64f9c914-74a0-4f6b-8589-6261851b0ab9,DE
b071f9fa-14b0-4217-8e97-eb41da73f598,GB
d87e52c5-bb8d-4da8-b941-9f4928627dc8,SE
45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,US
4c0d9acf-a8a1-4765-9c56-05f92f68c048,GB
e539699a-5cb3-4f73-b60f-691b1499d0af,RU
a506f761-2c22-4b2f-8a94-bd748c2c8f75,US
beb17ff6-a96e-4d80-aa77-7502eaa62053,GB
7bc51021-6a84-4a04-ada3-0541615a97bc,GB
d5d97b2b-b83b-4976-814a-056d9076c8c3,US
fffc6a35-ae65-48be-bcc0-9d604e05665e,US
0dea7760-339a-482d-a692-fc1c414d110d,CA
3943ae31-40b4-4de5-a4d6-819d9f3de72e,DK
f91e3a88-24ee-4563-8963-fab73d2765ed,AT
