,artist,count,genre
765,Choi Yoojung,6,pop
766,Choker,1,Hip-Hop
767,Chong The Nomad,1,electronic
768,Chris Arduser,4,power pop
769,Chris Brown,4,rnb
770,Chris Lake,2,House
771,Chris Mazuera,2,electronic
772,Chris Rea,3,rock
773,Chris de Burgh,1,pop
774,Christian French,1,pop
775,Christian Kuria,8,soul
776,Christina Milian,1,rnb
777,Christmas Tina,1,Soundtrack
778,Christoph Willibald Gluck,2,Classical
779,Christophe Cirillo,1,chanson
780,Christopher,1,danish
781,Chuck Berry,1,Rock and Roll
782,Chuck Inglish,1,hip hop
783,Chumbawamba,1,alternative
784,Cigarettes After Sex,2,dream pop
785,Cignature,7,k-pop
786,Ciki,6,indie
787,Cities Aviv,1,Hip-Hop
788,City Girl,25,electronic
789,City Girls,2,Hip-Hop
790,City Morgue,2,Trap Metal
791,City Your City,1,electronic
792,Civin,1,
793,Ckwnce,4,Lo-Fi
794,Claes Rosen,1,Progressive House
795,Clair Marlo,2,pop
796,Clairmont the Second,1,Hip-Hop
797,Clairo,2,dream pop
798,Clap Cotton,2,beats
799,Clara Schumann,1,Classical
800,Clarence Clarity,4,experimental
801,Clark Cables,1,
802,Claud,5,indie pop
803,Claude Debussy,64,Classical
804,Claude Nougaro,1,chanson francaise
805,Clazziquai Project,3,Korean
806,Clean Bandit,1,electronic
807,Cleo,1,pop
808,Cleopatrick,1,rock
809,Clever Girl,1,math rock
810,Climax,1,Progressive rock
811,Clipping,5,Hip-Hop
812,Cloonee,2,House
813,Close Talker,1,indie
814,Cloud,1,chillout
815,CloudNone,1,chillout
816,Cloudchord,4,chillout
817,Clown Core,109,experimental
818,Coakira,2,speedcore
819,Cobrah,1,electronic
820,Cochise,3,rock
821,Coco Laced,9,
822,Coco Méliès,1,folk
823,Cocteau Twins,2,dream pop
824,Code Crime,1,
825,Cody・Lee(李),5,japanese
826,Coffeeboy,1,indie
827,Coi Leray,2,rap
828,Coin,3,indie
829,Cola Boyy,1,funk
830,Cola Splash,1,electronic
831,Colate,141,vocaloid
832,Colate; shully,1,
833,Colde,12,soul
834,Coldplay,5,rock
835,Colton Ryan,1,USA
836,Commodo,1,dubstep
837,Commodores,1,soul
838,Common,1,Hip-Hop
839,Common Saints,1,soul
840,Con,1,black metal
841,Conan Gray,23,indie
842,Conducting from the Grave,1,deathcore
843,Connie Francis,1,oldies
844,Connor Price,1,Hip-Hop
845,Conro,3,dance
846,Coogie,1,Hip-Hop
847,Cookiee Kawaii,1,jersey club
848,Cookin Soul,1,Hip-Hop
849,Cool Joke,2,J-rock
850,Copycatt,1,glitch hop
851,Coralie Clément,1,french
852,Corduroy Egg,1,
853,Corey Feldman,2,experimental
854,Corey Hart,4,80s
855,Cornelius,167,electronic
856,Corpse,1,death metal
857,Cortex,3,post-punk
858,Cory Henry,1,jazz
859,Cory Wong,78,funk
860,CoryaYo,5,Hip-Hop
861,Cosmic Boy,11,Hip-Hop
862,Cosmo Pyke,93,Lo-Fi
863,Cosmograph,1,electronic
864,Coubo,1,instrumental hip-hop
865,Cousin Stizz,14,rap
866,Covet,3,math rock
867,Cozz,1,Hip-Hop
868,Crafting Audio,1,
869,Crain & Taylor,1,
870,Cranky,2,Rave
871,Crazy Frog,54,the worst thing ever to happen to music
872,Creedence Clearwater Revival,3,classic rock
873,Creepy Nuts,13,japanese
874,Crest,3,japan
875,Criolo,2,rap
876,Crisis Era,1,canada
877,Cristina Vee,1,pop
878,"Crosby, Stills & Nash",1,classic rock
879,Crumb,16,indie rock
880,Crunch,2,idm
881,Crush,166,rnb
882,Crush 40,1,hard rock
883,Crystal Castles,35,electronic
884,Crystal Sirens,64,
885,Crystal Tea,1,rock
886,Crywolf,1,electronic
887,Cube Natural,1,breakcore
888,Curren$y,4,Hip-Hop
889,Cut Copy,2,electronic
